Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,TimeAverage,TimeStd,TimeMedian,TimeMin,TimeMax,InitPosAverage,InitPosStd,InitPosMedian,InitPosMin,InitPosMax,InitQuatAverage,InitQuatStd,InitQuatMedian,InitQuatMin,InitQuatMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
12,123,0,315.42295694351196,128,12,80,nan,nan,10.0,10.0,10.25,1.5343293866268306,10.0,8,13,-6.914809038241704,5.28499251790517,-7.248636394739151,-15.54695188999176,-0.6498094201087952,10.25,1.5343293866268306,10.0,8,13,-6.667591498850246,4.908752387623201,-6.94971270161899,-14.619572226705621,-0.8179314481046687,0.4166666666666667,0.4930066485916347,0.0,False,True,-0.009820211041730618,0.008949333485691265,-0.00679056215498712,-0.020179130206893256,0.0005966900414522136,19.562525113423664,1.9130709840640951,20.16273057460785,15.989978790283203,21.893560886383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.168877418711782,10.153658266223585,8.14014196395874,-4.883100986480713,45.65711212158203,1162.341580581665,897.0476192937324,833.8594970703125,308.2520751953125,4532.76806640625,0.6292101528495551,0.15425256548290397,0.6394610702991486,0.23976024985313416,0.9998809099197388,2.3623774692416193,0.40668370391339587,2.377038359642029,1.31697416305542,3.224013566970825
13,248,1,642.0345396995544,256,25,160,0.39190281899955653,0.24493926187472284,10.0,10.0,9.92,1.5210522673465234,10.0,7,13,-5.812026240825653,4.870641422929961,-7.18583470582962,-15.54695188999176,0.2752649784088135,9.92,1.5210522673465234,10.0,7,13,-5.64009644929651,4.52612314295192,-6.891088003806763,-14.619572226705621,0.10761017787784155,0.48,0.4995998398718719,0.0,False,True,-0.010881904431445138,0.009105122336743009,-0.00806795962164683,-0.020179130206893256,0.0021058335456831667,19.171837320327757,2.027105789020268,20.153039932250977,14.102648973464966,21.893560886383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0301143089396647,1.6319221082404436,1.8596822023391724,-0.8583880662918091,6.27844762802124,417.68094902038575,173.61029731391912,383.720703125,142.29693603515625,960.6194458007812,0.49831827320158484,0.1035757348476786,0.5032118558883667,0.22929725050926208,0.7289921641349792,1.835061527788639,0.23170391464888276,1.8567425608634949,1.2983894348144531,2.4190776348114014
12,378,2,954.7319405078888,384,37,240,0.40934142614909896,0.25583839134318687,10.0,10.0,10.216216216216216,1.8178564022486743,10.0,5,14,-6.877094760134414,5.320916934759953,-7.2808637619018555,-16.893237471580505,1.3796759843826294,10.216216216216216,1.8178564022486743,10.0,5,14,-6.6183513744073,4.936812467479108,-6.980098271060985,-15.776615320581225,1.244335537531593,0.40540540540540543,0.4909703276914852,0.0,False,True,-0.00909874850999501,0.009456678332239676,-0.007548464768600577,-0.020179130206893256,0.0029631378810595355,19.346989876515156,2.4152836350861753,20.15921711921692,9.838252544403076,21.893560886383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.883531674742699,3.488698030777827,6.545663356781006,0.20408710837364197,17.864913940429688,698.3952615737915,524.6159203886344,542.7090148925781,202.27047729492188,3786.689208984375,0.6816234480589628,0.15075874364495953,0.6720806062221527,0.310435950756073,1.0882331132888794,2.4689806059002875,0.4804430708893838,2.4577096700668335,1.4014880657196045,3.8531808853149414
11,509,3,1246.4086866378784,512,48,320,0.4388419772858927,0.27427623580368293,10.0,10.0,10.604166666666666,2.3606106495754204,10.0,5,22,-8.086550572266182,6.727386214979098,-8.293051332235336,-36.898295164108276,1.3796759843826294,10.604166666666666,2.3606106495754204,10.0,5,22,-7.722712720074905,6.142956260947264,-7.948189488611819,-33.340849193608044,1.244335537531593,0.3541666666666667,0.4782600118020415,0.0,False,True,-0.007765325476062501,0.00970409960534239,-0.005646964799901413,-0.020179130206893256,0.006257727808845898,19.640567903717358,2.236862403607752,20.16777205467224,9.838252544403076,21.893560886383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.758843824267387,11.912702998747434,13.166183948516846,2.05448055267334,78.05504608154297,1071.653917694092,699.640861447719,923.8483276367188,294.76922607421875,4767.82568359375,0.6139721982181072,0.13082095459144685,0.6126928627490997,0.27768826484680176,0.876356303691864,2.22441536039114,0.36658814749462915,2.2506518363952637,1.3847339153289795,3.054058313369751
3,546,4,1329.5499818325043,640,51,400,1.539547822780054,0.9622173892375337,10.0,10.0,10.705882352941176,2.522791153037731,10.0,5,22,-8.096449123878106,6.645639499807142,-8.651544332504272,-36.898295164108276,1.3796759843826294,10.705882352941176,2.522791153037731,10.0,5,22,-7.730866853909621,6.0686149008489,-8.280587955012116,-33.340849193608044,1.244335537531593,0.35294117647058826,0.4778846120374094,0.0,False,True,-0.007640268605028759,0.00975264549622499,-0.00535053179966663,-0.020179130206893256,0.006257727808845898,19.658273972716987,2.196995625754482,20.16931986808777,9.838252544403076,21.893560886383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0928645133972,298.50038115243666,304.82781982421875,126.3620834350586,1343.0115966796875,11817.535244750976,10610.574370127422,6697.3994140625,457.82037353515625,39982.296875,0.40583744291216134,0.24549450542400256,0.40563665330410004,0.06126017868518829,1.1377816200256348,1.6254056543111801,0.4568814447096528,1.5624420642852783,1.071731448173523,3.3058853149414062
11,762,5,1643.2742395401,768,62,480,0.40800160285756853,0.25500100178598034,10.0,10.0,12.290322580645162,11.861277601824968,10.0,5,103,-11.20959032735517,20.863985396656506,-8.293051332235336,-165.84566032886505,1.3796759843826294,12.290322580645162,11.861277601824968,10.0,5,103,-9.795507440311418,13.334312441592788,-7.948189488611819,-102.68639795392785,1.244335537531593,0.2903225806451613,0.4539112025635578,0.0,False,True,-0.0071555416585380805,0.010022475905286035,-0.005900453363194169,-0.020179130206893256,0.011951029942953939,19.889302426768886,2.0999839797369604,20.171314358711243,9.838252544403076,23.428940773010254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.72123849093914,176.7055143982531,-0.7906628847122192,-25.96520233154297,837.4445190429688,6388.943114089966,7033.968798611127,2571.3250732421875,449.7658386230469,33453.76953125,0.42631767112761737,0.10525538923929564,0.418828547000885,0.2219102680683136,0.6593833565711975,1.6828628569841384,0.21239053443486863,1.675141453742981,1.3073381185531616,2.1998465061187744
10,886,6,1927.4924368858337,896,72,560,0.45035821490450173,0.2814738843153136,10.0,10.0,12.305555555555555,11.142559661158163,10.0,5,103,-11.376626585920652,19.668641303430377,-7.997045397758484,-165.84566032886505,1.3796759843826294,12.305555555555555,11.142559661158163,10.0,5,103,-10.042953558810565,12.74792421064791,-7.654069236132581,-102.68639795392785,1.244335537531593,0.25,0.4330127018922193,0.0,False,True,-0.006578220661849434,0.009714987073505328,-0.005604020362959386,-0.020179130206893256,0.011951029942953939,19.985835651556652,1.9740290032703502,20.171724557876587,9.838252544403076,23.428940773010254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.413508966565132,9.92598867635165,18.591431617736816,3.7559921741485596,50.40868377685547,1059.309129333496,523.8303097666807,947.6408081054688,230.5745849609375,3135.420654296875,0.6871344599872827,0.11939531072963133,0.7109888792037964,0.3792809844017029,0.9158328771591187,2.271841037273407,0.2940347950748868,2.2827963829040527,1.6570836305618286,2.9371893405914307
9,1012,7,2173.7058050632477,1024,81,640,0.5198742901228948,0.32492143132680923,10.0,10.0,12.493827160493828,10.620412975614256,11.0,5,103,-12.000835534231163,18.825239902000643,-8.676086068153381,-165.84566032886505,1.3796759843826294,12.493827160493828,10.620412975614256,11.0,5,103,-10.677980012421001,12.380283374710748,-8.292384537409937,-102.68639795392785,1.244335537531593,0.2222222222222222,0.41573970964154905,0.0,False,True,-0.005914809652122855,0.009603454557208436,-0.005120765982667613,-0.020179130206893256,0.011951029942953939,20.05120845782904,1.8766637378171993,20.176520109176636,9.838252544403076,23.428940773010254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.143845200538635,11.607291053538242,29.943440437316895,8.22716999053955,72.11881256103516,1402.4133995056152,676.5499577389152,1207.7633666992188,515.73583984375,3951.5244140625,0.6950008790940047,0.14927708567306297,0.6805581450462341,0.3661869168281555,1.0496599674224854,2.4459177538752557,0.3883975590868006,2.430598497390747,1.6670336723327637,3.3887033462524414
