Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,TimeAverage,TimeStd,TimeMedian,TimeMin,TimeMax,InitPosAverage,InitPosStd,InitPosMedian,InitPosMin,InitPosMax,InitQuatAverage,InitQuatStd,InitQuatMedian,InitQuatMin,InitQuatMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
14,183,10,3434.8391122817993,1408,165,880,0.45699108687756423,0.2856194292984776,10.0,10.0,9.15,3.5110539728121526,8.0,4,16,-2.7336732067167757,5.908151177085257,0.36848657578229904,-16.409261286258698,2.489880323410034,9.15,3.5110539728121526,8.0,4,16,-2.677696740974669,5.502453335238334,0.13707918564622812,-15.198830434475743,2.3729278437468997,0.75,0.4330127018922193,1.0,False,True,-0.014283953795028443,0.008891074980011737,-0.018846442056166396,-0.02083377866075356,0.0036232300475134704,14.378213167190552,4.989462076053501,12.55791437625885,7.677562236785889,21.436078310012817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.991477070748806,3.2623472571852643,6.337453603744507,1.2780650854110718,17.679691314697266,769.411888885498,394.0850982642503,676.713623046875,256.0205078125,1966.892822265625,0.4109758572652936,0.10761737512742538,0.41370053589344025,0.1591619998216629,0.6494936943054199,1.65760657787323,0.2088394072704272,1.6493176221847534,1.2073204517364502,2.248939037322998
19,141,11,3775.2598156929016,1536,184,960,0.3760053331580816,0.235003333223801,10.0,10.0,7.05,3.2167530212933664,6.0,3,15,0.19514403194189073,3.0170319093817595,1.3375746309757233,-9.614146739244461,2.9508259296417236,7.05,3.2167530212933664,6.0,3,15,0.07173449303181012,2.9214851141554172,1.1757161380238865,-9.124446520362369,2.8687295545339584,0.95,0.21794494717703372,1.0,False,True,-0.018490895156208748,0.0032800345469213405,-0.019065348847396565,-0.02096580269584092,-0.004782652127220732,11.77170308828354,4.182329339390838,10.229926109313965,6.011000633239746,20.32307267189026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5439107264392078,2.2683185663713044,1.0642974376678467,-1.7827091217041016,8.53984260559082,555.799285697937,365.63872392465436,490.3873748779297,136.18484497070312,2726.08056640625,0.3478009121492505,0.09419059297147325,0.3474593460559845,0.17670497298240662,0.6381449699401855,1.5447166800498962,0.17207735405943492,1.5494901537895203,1.2223588228225708,2.059908151626587
21,125,12,4111.433638095856,1664,205,1040,0.38075540529914625,0.2379721283119664,10.0,10.0,6.25,2.6995369973386176,6.0,4,14,0.7421720504760743,3.776075211999583,1.7388054057955742,-14.470762729644775,2.6874913573265076,6.25,2.6995369973386176,6.0,4,14,0.6439872971756645,3.5460660575318004,1.5593093280277182,-13.478439861299224,2.565816664062977,0.95,0.21794494717703367,1.0,False,True,-0.01855724110713588,0.004906750765911482,-0.019536332153888156,-0.020887316986399257,0.0023400714765321184,10.14487556219101,3.857391976801396,9.26169741153717,6.708909511566162,20.731863975524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.753806712478399,5.03988672042356,4.732552766799927,-0.36317089200019836,20.1696720123291,658.4887112617492,398.5601134500257,533.4729309082031,91.68119049072266,1935.155029296875,0.2895609893836081,0.07926014746303979,0.29058393836021423,0.100309357047081,0.5361282825469971,1.4497062131762504,0.1443049896877098,1.4515096545219421,1.1098072528839111,1.8790524005889893
14,166,13,4404.589997291565,1792,219,1120,0.4366270626063686,0.27289191412898034,10.0,10.0,8.3,3.3778691508109073,8.5,4,14,-2.4325464487075807,5.762679398298783,0.49897632002830505,-14.909429848194122,2.5408624410629272,8.3,3.3778691508109073,8.5,4,14,-2.379276073916405,5.400802040522039,0.28395395303933846,-13.99671694524108,2.423088526078462,0.75,0.4330127018922193,1.0,False,True,-0.014986613966534551,0.008756598638014436,-0.019472223833498017,-0.020931392621312994,0.002754213194668148,13.589170265197755,5.218628679892733,11.948338150978088,7.077340126037598,21.419945240020752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.577339208126068,4.658293335066599,9.756879806518555,2.570948600769043,33.07332992553711,984.9683025360107,540.2035921762026,853.2328796386719,314.6651916503906,3399.741455078125,0.3952796824276447,0.1259328916770428,0.3825759291648865,0.13503393530845642,0.835595428943634,1.6640818387269973,0.2473036920955162,1.638351023197174,1.183745265007019,2.578640937805176
15,168,14,4720.538133382797,1920,234,1200,0.40512978358903523,0.253206114743147,10.0,10.0,8.4,3.3823069050575527,9.5,3,13,-3.587699344754219,5.703329432976507,-2.2696917951107025,-12.032932579517365,3.3169755339622498,8.4,3.3823069050575527,9.5,3,13,-3.461071735635232,5.384956227037378,-2.4363361303947264,-11.405874597617052,3.2288551925659177,0.6,0.4898979485566357,1.0,False,True,-0.01252702969297012,0.009396381879059702,-0.01930476596378848,-0.020876306764673225,0.0016393875732940988,14.570213460922242,5.953139832831225,15.997264385223389,5.112565755844116,21.781566619873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353489407896996,2.349042022990909,7.125925540924072,3.607118844985962,13.22938346862793,683.637174987793,282.37483442657935,655.3523559570312,269.13055419921875,1540.4351806640625,0.45677640177309514,0.09094880140655774,0.4539453685283661,0.27729326486587524,0.7339527010917664,1.7192572981119156,0.17322121709957386,1.698216199874878,1.4042198657989502,2.320775032043457
15,181,15,5029.544988870621,2048,249,1280,0.4142302920688563,0.2588939325430352,10.0,10.0,9.05,2.9064583258667245,10.0,4,13,-4.74045627117157,5.6542135612418845,-4.977223634719849,-12.577755957841873,2.6411335468292236,9.05,2.9064583258667245,10.0,4,13,-4.5616718058295955,5.314847863824859,-4.891288579095752,-11.835078997102718,2.522446504048347,0.5,0.5,0.5,False,True,-0.009727328846433032,0.01021904516637501,-0.010948316719560522,-0.020796019158683704,0.0029676711389973742,15.96069539785385,5.492452475299173,18.844221353530884,6.702728509902954,21.781566619873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.590911434590817,2.7948328015003656,6.021718740463257,1.7385002374649048,14.997084617614746,668.8585746765136,250.82726052312816,627.6622314453125,248.512451171875,1284.2757568359375,0.49835590794682505,0.10771872409195624,0.5001247674226761,0.2641584575176239,0.7754290103912354,1.8397627875208855,0.23859209857444813,1.844266653060913,1.3667693138122559,2.6009886264801025
16,159,16,5360.68270945549,2176,265,1360,0.3865461167453862,0.24159132296586638,10.0,10.0,7.95,3.3237779709240507,6.5,3,13,-3.599883522093296,6.0695471825525535,0.16058585047721863,-11.422529101371765,3.15500009059906,7.95,3.3237779709240507,6.5,3,13,-3.451105210771261,5.746277053485481,-6.644872086081222e-05,-10.814584750405002,3.070120079708099,0.55,0.4974937185533099,1.0,False,True,-0.011094320672745916,0.00995974224658032,-0.018973502011648005,-0.020842840716542826,0.001995357069840775,14.295099687576293,6.212215197978634,12.422182202339172,5.71604585647583,21.7121684551239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.754852482676506,2.3931783540900335,6.807467937469482,2.049563407897949,12.749235153198242,718.5896863937378,303.62033141968504,659.8521118164062,165.6425018310547,1558.6578369140625,0.5300497226417065,0.12106075359715243,0.5184864401817322,0.16783691942691803,0.7858631014823914,1.884998720884323,0.22088094206747697,1.876672625541687,1.2456443309783936,2.3694534301757812
14,178,17,5663.836281299591,2304,279,1440,0.4222282430035988,0.26389265187724925,10.0,10.0,8.9,2.6814175355583845,8.5,4,14,-4.996030515432357,5.947243706340707,-1.7204804420471191,-16.044214963912964,2.5478211641311646,8.9,2.6814175355583845,8.5,4,14,-4.822026582706958,5.565854110530314,-1.897775680304493,-14.922518006850353,2.428232082365751,0.55,0.4974937185533099,1.0,False,True,-0.010737551073163161,0.009952609802439477,-0.01806199133939887,-0.020273003129339523,0.005773394121584896,15.957036304473878,4.93699825566329,14.688022017478943,7.280314683914185,21.7121684551239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.540951043367386,4.440756087648616,8.069687366485596,1.6920804977416992,23.5123233795166,755.6180490493774,370.78102084103534,671.6119384765625,243.82359313964844,1932.6932373046875,0.5092425029724836,0.10003840235098554,0.5103110074996948,0.28775855898857117,0.7788463234901428,1.8338179498910905,0.19856491903079157,1.8199763894081116,1.3984805345535278,2.3721935749053955
18,144,18,6004.666913032532,2432,297,1520,0.3755530990544739,0.2347206869090462,10.0,10.0,7.2,2.6570660511172846,6.0,4,12,-1.8786352574825287,5.327571154664268,1.315670669078827,-13.455731511116028,2.537619173526764,7.2,2.6570660511172846,6.0,4,12,-1.8623753652715649,5.038027099950011,1.147149273292799,-12.726584312247128,2.419581585679769,0.75,0.4330127018922193,1.0,False,True,-0.014961602216631403,0.008002613453460752,-0.019242737478713662,-0.020273003129339523,0.0022107223868324533,13.128280186653138,4.9949061705502995,10.380069971084595,7.650870084762573,21.75837278366089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089609951525927,2.2851422092520264,4.92132306098938,0.7534830570220947,12.743133544921875,603.4288566589355,282.7937946741285,547.7283935546875,259.579345703125,1703.4989013671875,0.39457239434123037,0.10343307943801547,0.3935804218053818,0.15268751978874207,0.6348926424980164,1.6355127453804017,0.18551869621475714,1.631223201751709,1.2360138893127441,2.041492223739624
17,143,19,6335.400627374649,2560,314,1600,0.38701830037077606,0.24188643773173504,10.0,10.0,7.15,2.7798381247835278,6.0,5,16,-0.6326243489980697,3.778694064509569,0.9128558039665222,-9.512677907943726,2.0075398087501526,7.15,2.7798381247835278,6.0,5,16,-0.6965933641318777,3.5626000382822736,0.7551484470816023,-9.094059849010547,1.8563029738119168,0.85,0.3570714214271425,1.0,False,True,-0.017588883600005746,0.00441424573109352,-0.019196865304109523,-0.02025671723826558,-0.004485665329599292,12.48987478017807,4.070096584526677,11.47985291481018,8.643850088119507,20.977503538131714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.037850093375892,2.539327547752397,3.597576141357422,-0.46911802887916565,11.330833435058594,467.0061933517456,226.4997317807877,432.9247741699219,85.79289245605469,1214.3214111328125,0.3660003788769245,0.08495192814969571,0.36833353340625763,0.14162211120128632,0.5865281820297241,1.587175875902176,0.17263788249951698,1.5927228331565857,1.1717591285705566,2.0929226875305176
